id,alert_id,title,description,url,published_at,source_type,language,country,favorite,tone,source_name,source_url,parent_url,parent_id,children,direct_reach,cumulative_reach,domain_reach,tags,score,alert_name
128146456408,1648674,"Ekim S1k1nt1s1 | filmekimi Yeni filmekimi - https://t.co/gMF2LgO90Q","Ekim S1k1nt1s1 | filmekimi Yeni filmekimi - https://t.co/gMF2LgO90Q",https://twitter.com/EvModasiNET/status/1069336460074065924,"2018-12-02 21:04:14+00:00",twitter,tr,TR,0,neutral,EvModasiNET,https://twitter.com/EvModasiNET,,,0,254,254,,,16,IKSV
128146507159,1648674,"Timsah ya da k1saca Timso. Ona nas1l sesleneceinize siz karar verin. 
Tan1_maya çok az kald1, ilk oyun yar1n! 

0stanbul Tiyatro Festivali kapsam1nda yar1n ve Pazartesi günkü oyunlar1n1n biletleri tükenen #Timsah 16, 23, 28 Aral1k ve 7, 8 Ocakta &","Tan1_maya çok az kald1, ilk oyun yar1n!0stanbul Tiyatro Festivali kapsam1nda yar1n ve Pazartesi günkü oyunlar1n1n biletleri tükenen #Timsah 16, 23, 28 Aral1k ve 7, 8 Ocakta #DasDasta. https://t.co/UdDja4TQaP",https://twitter.com/busraa_ks03/status/1069339450952568833,"2018-12-02 21:16:07+00:00",twitter,tr,,0,neutral,busraa_ks03,https://twitter.com/busraa_ks03,https://twitter.com/TokerlerSemra/status/1068888349514129408,128138760494,0,45,45,,,12,IKSV
128146943627,1648674,"Dans Performans1 : La Fresque (Fresk)","18 Kas1m Cuma Gecesi 21. 0stanbul Tiyatro Festivali kapsam1nda izledik La Fresque'i.",http://afilperisi.blogspot.com/2017/11/dans-performans-la-fresque-fresk.html,"2018-12-02 21:36:35+00:00",blogs,tr,US,0,positive,afilperisi.blogspot.com,http://afilperisi.blogspot.com,,,0,,,,,3,IKSV
128147289446,1648674,"Timsah ya da k1saca Timso. Ona nas1l sesleneceinize siz karar verin. 
Tan1_maya çok az kald1, ilk oyun yar1n! 

0stanbul Tiyatro Festivali kapsam1nda yar1n ve Pazartesi günkü oyunlar1n1n biletleri tükenen #Timsah 16, 23, 28 Aral1k ve 7, 8 Ocakta &","Tan1_maya çok az kald1, ilk oyun yar1n!0stanbul Tiyatro Festivali kapsam1nda yar1n ve Pazartesi günkü oyunlar1n1n biletleri tükenen #Timsah 16, 23, 28 Aral1k ve 7, 8 Ocakta #DasDasta. https://t.co/UdDja4TQaP",https://twitter.com/FUNDACEYLAN/status/1069389201978941440,"2018-12-03 00:33:48+00:00",twitter,tr,TR,0,neutral,FUNDACEYLAN,https://twitter.com/FUNDACEYLAN,https://twitter.com/TokerlerSemra/status/1068888349514129408,128138760494,0,1082,1082,,,20,IKSV
128147372288,1648674,"& sanat #resim #paintings #oilpainting #drawing #color #painter #canvas #canvasart #sanatheryerde #sanatsanatiçindir #istanbulart #iksv #tattooantalya #tattoos #tattoodesign #desigener #tattooink #inktattoo #watercolortattoo#smurfs #_irinler #""cartoon","#antalya #belek #color #sanat #resim #paintings #oilpainting #drawing #color #painter #canvas #canvasart #sanatheryerde &",https://www.instagram.com/p/Bq540TpgNCT/,"2018-12-03 00:07:59+00:00",images,tr,,0,neutral,,http://instagram.com/_morcivert_,,,0,1248,1248,,,29,IKSV
128147661172,1648674,"BIFA 2018 Y1l1n1n En 0yilerini Aç1klad1 - Arakat Sanat","0ngiliz Ba1ms1z Film Ödülleri dün gece sahiplerini buldu. Geceye, ülkemizde Filmekimi kapsam1nda gösterilen Yorgos Lanthimosun yönetmenliini yapt11 The Favourite damga vurdu. Tam tam1na 10 ödül kazanan film, en iyi film ödülünü de ald1.",http://www.arakatsanat.com/bifa-2018-yilinin-en-iyilerini-acikladi/,"2018-12-03 02:25:30+00:00",blogs,tr,TR,0,neutral,arakatsanat.com,http://arakatsanat.com,,,0,,,0,,20,IKSV
128148288758,1648674,"Timsah ya da k1saca Timso. Ona nas1l sesleneceinize siz karar verin. 
Tan1_maya çok az kald1, ilk oyun yar1n! 

0stanbul Tiyatro Festivali kapsam1nda yar1n ve Pazartesi günkü oyunlar1n1n biletleri tükenen #Timsah 16, 23, 28 Aral1k ve 7, 8 Ocakta &","Tan1_maya çok az kald1, ilk oyun yar1n!0stanbul Tiyatro Festivali kapsam1nda yar1n ve Pazartesi günkü oyunlar1n1n biletleri tükenen #Timsah 16, 23, 28 Aral1k ve 7, 8 Ocakta #DasDasta. https://t.co/UdDja4TQaP",https://twitter.com/ozkan_trz/status/1069436219032027141,"2018-12-03 03:40:38+00:00",twitter,tr,TR,0,neutral,ozkan_trz,https://twitter.com/ozkan_trz,https://twitter.com/TokerlerSemra/status/1068888349514129408,128138760494,0,18,18,,,11,IKSV
128149324161,1648674,"& holiday #travelphotography #travelholic #travelers #fotograf #fotografkulubum #fotografcilar #europe #asia #africa #southamerica #northamerica #turkiye #türkiye #oan #moments #iksv #etc #kadrajimdan #anilarinisakla #blackwhitephotography #blackwhite","#photoart #photogrid #photograph #photographer #photography #photos #photooftheday #photo #holiday #travelphotography #travelholic &",https://www.instagram.com/p/Bq6Zdu0BlD9/,"2018-12-03 04:53:16+00:00",images,tr,,0,positive,,http://instagram.com/erkanalize,https://www.instagram.com/p/BqwSSmVBYoJ/,128117233008,0,,,,,,IKSV
128149841132,1648674,"& Piano Competition Final Performans1n1 https://t.co/kFPFI0h39i adresinden izleyebilirsiniz. Hakettii bu ba_ar1s1n1 içtenlikle kutluyoruz.

#iksv #borusansanat #andante #pekinels #pianist #classicalmusic #piano #klasikmüzik https://t.co/q58aFCG6Sr","Hakettii bu ba_ar1s1n1 içtenlikle kutluyoruz.#iksv #borusansanat #andante #pekinels #pianist #classicalmusic #piano #klasikmüzik https://t.co/q58aFCG6Sr",https://twitter.com/glycmr/status/1069486757887033344,"2018-12-03 07:01:27+00:00",twitter,tr,,0,positive,glycmr,https://twitter.com/glycmr,,,2,9,1568,,,10,IKSV
128149921119,1648674,"Neden Komik Tiyatro? : 0stanbul Tiyatro Festivali Farkl1l1klar1n Merkezi! / YA^AM KAYA","Geçtiimiz haftalarda ba_layan 21. Uluslararas1 0stanbul Tiyatro Festivali , aç1l1_ oyunu olarak 0talyan Tiyatrosu'nun seçkin örneinden bir eserle perdelerini açt1. Festivalde _imdiye dek 5 oyunu izleme _ans1m oldu.",http://lifeartsanat.com/2018/12/03/neden-komik-tiyatro-istanbul-tiyatro-festivali-farkliliklarin-merkezi-yasam-kaya/,"2018-12-03 07:17:16+00:00",blogs,tr,US,0,neutral,lifeartsanat.com,http://lifeartsanat.com,,,0,,,0,,16,IKSV
