"Gönderi Kodu","Sabit Bağlantı","Gönderi Mesajı",Tür,Ülkeler,Diller,Paylaşılma,"Hedeflenen Kitle","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,
153781998002036_2119826401397576,https://www.facebook.com/EczacibasiToplulugu/posts/2119826401397576,"Kurucu sponsoru olduğumuz Istanbul Modern | Istanbul Museum of Modern Art bugün tam 14 yaşında! #Eczacıbaşı #İstanbulModern",Video,,,"12/11/2018 12:50:04 AM"," ",268247,7002,257574,285289,8984,268582,13072,11803,13404,9,9,17726,12881,13169,10085,910,94,97,3255,3255,3131,3221,74884,76869,4489,33491,201,1392,30,213,1430,41,11383,506,1,,12854,549,1,,6,3,,,6,3,,
153781998002036_2117181894995360,https://www.facebook.com/EczacibasiToplulugu/posts/2117181894995360,"Dünya Kulüpler Şampiyonası üçüncüsü Eczacıbaşı VitrA'yı yürekten alkışlıyoruz. 
Kadınların gücüne inanıyor, onları yürekten destekliyoruz. 
#EczacıbaşıVitrA
#BirlikteDahaGüçlü
#FIVBWomensCWC
Eczacıbaşı Spor Kulübü",Photo,,,"12/09/2018 03:27:27 AM"," ",235535,4434,229355,257314,6321,247526,1044,438,491,7,7,21248,16090,14996,13104,357,0,0,0,0,0,0,0,0,0,0,36,632,11,38,657,13,,147,,306,,162,,329,3,4,,,3,4,,
153781998002036_2114411185272431,https://www.facebook.com/EczacibasiToplulugu/posts/2114411185272431,"Amaçlarla kazanılan bir başarı öyküsü…
Kadınların gücüne inanıyor, onları yürekten destekliyoruz.
#EczacıbaşıVitrA #BirlikteDahaGüçlü
Eczacıbaşı Spor Kulübü",Video,,,"12/07/2018 04:59:02 AM"," ",280610,6319,274630,346087,8223,336538,10818,10298,11551,2,2,17135,11059,13976,9262,494,77,84,3795,4000,1368,1426,60597,68413,3733,31059,43,559,3,46,590,4,10047,199,,,11345,206,,,,2,,,,2,,
153781998002036_2111163572263859,https://www.facebook.com/EczacibasiToplulugu/posts/2111163572263859,"Eczacıbaşı Gönüllülerimiz, bugüne kadar 965 okula ve 74.000’den fazla kişinin hayatına dokunmuş olmanın mutluluğunu yaşıyor. Kalbini gönüllülüğe verenlerin günü kutlu olsun.",Video,,,"12/05/2018 12:10:11 AM"," ",92151,2993,89050,110690,4211,103944,1716,1368,1578,2,2,11150,8288,7398,5809,280,31,35,521,522,636,683,14308,15460,3143,52312,40,379,2,41,400,2,1284,86,1,,1489,88,1,,,2,,,,2,,
153781998002036_2108270419219841,https://www.facebook.com/EczacibasiToplulugu/posts/2108270419219841,"Engellerin el ele aşıldığı ve hayatın özgürce paylaşıldığı bir dünya için #engellerikaldır",Video,,,"12/03/2018 01:30:14 AM"," ",2884,2398,0,4001,3331,0,84,39,54,1,1,3386,2441,0,0,61,75,80,0,0,334,367,0,0,2613,11040,3,48,2,3,48,6,14,33,,,16,38,,,,1,,,,1,,
153781998002036_2104142486299301,https://www.facebook.com/EczacibasiToplulugu/posts/2104142486299301,"Eczacıbaşı Topluluğu sponsorluğunda “Yıldız Moran: Bir Dağ Masalı” sergisi 24 Kasım 2018–12 Mayıs 2019 tarihleri arasında Istanbul Modern | Istanbul Museum of Modern Art Fotoğraf Galerisi’nde!
Anadolu’da çektiği fotoğraflarında insan sevgisi, sanatsal duyarlılık ve fotoğraf sezgisini aynı çizgi üzerinde buluşturarak, kendine farklı bir alan açan sanatçı, fotoğraflarını çektiği insanları yaşadıkları coğrafya ile özenle birleştiriyor. #Eczacıbaşı http://bit.ly/YildizMoranSergi",Video,,,"11/30/2018 06:35:21 AM"," ",146984,4597,132090,212958,5723,186149,10463,9175,11114,11,11,34378,20158,29328,17725,1575,248,264,2839,3123,3666,4027,32091,38617,4699,50281,464,1682,28,486,1734,32,8583,709,15,,10242,857,15,,4,6,1,,4,6,1,
153781998002036_2095244513855765,https://www.facebook.com/EczacibasiToplulugu/posts/2095244513855765,"Eczacıbaşı Topluluğu sponsorluğunda Istanbul Modern | Istanbul Museum of Modern Art Fotoğraf Galerisi’nin yeni sergisi “Yıldız Moran: Bir Dağ Masalı” İstanbul Modern’de bugün açıldı.

Türkiye’nin akademik eğitim almış ilk kadın fotoğraf sanatçısı Yıldız Moran, 86 siyah beyaz yapıtı ile insanların ve coğrafyaların üzerinde yansıyan ışık ve gölge dünyasını, kendine özgü kompozisyonlarla geleceğe miras bırakıyor. #Eczacıbaşı http://bit.ly/YildizMoranSergi",Photo,,,"11/24/2018 02:01:02 AM"," ",4032,3847,0,5375,5089,0,74,44,60,2,2,4777,3630,0,0,57,0,0,0,0,0,0,0,0,0,0,4,33,3,4,33,5,,33,2,12,,43,2,15,1,1,,,1,1,,
153781998002036_2095146557198894,https://www.facebook.com/EczacibasiToplulugu/posts/2095146557198894,"Tüm öğretmenlerimizin 24 Kasım Öğretmenler Günü kutlu olsun. #24Kasım",Video,,,"11/23/2018 11:58:42 PM"," ",201703,6377,188786,210073,8021,194018,4142,3381,4099,3,3,8897,6959,3188,2730,317,131,136,1432,1443,2605,2794,37371,37371,3298,32723,108,864,15,118,897,17,3159,272,1,,3811,287,1,,1,2,,,1,2,,
153781998002036_2088049624575254,https://www.facebook.com/EczacibasiToplulugu/posts/2088049624575254,"Eczacıbaşı olarak, Tertemiz Bir Gelecek için tam 10 yıldır Eczacıbaşı Hijyen Projesi’ni yürütüyoruz. Türkiye’deki yatılı bölge ortaokullarının tuvalet ve banyolarını yeniliyoruz ve hijyen eğitimleri veriyoruz. Çünkü bu ülkenin tertemiz çocukları için ne yapsak az. http://bit.ly/EczacibasiHijyenProjesi #Eczacıbaşı #EczacıbaşıHijyenProjesi #DünyaTuvaletGünü",Video,,,"11/19/2018 12:14:56 AM"," ",156782,6816,143122,180986,8342,162880,3880,3434,3978,3,3,8736,6767,4525,3636,237,129,129,1442,1442,2930,2930,40442,43000,5196,60350,99,521,12,102,545,28,3168,270,4,,3659,315,4,,3,,,,3,,,
153781998002036_2081795701867313,https://www.facebook.com/EczacibasiToplulugu/posts/2081795701867313,"22. İstanbul Tiyatro Festivali 17 Kasım'da perdelerini açıyor! Kurucu sponsoru olduğumuz İstanbul Kültür Sanat Vakfı tarafından düzenlenen festival programında 12 uluslararası, 12 yerli yapım 18 farklı mekânda izleyici karşısına çıkıyor. #OradaOlmak başkadır! Detaylar için: http://bit.ly/22istanbultiyatrofestivali #isttiyatrofest #tiyatrobirkezyaşanır #enerjimiztiyatroya #İKSV",Photo,,,"11/14/2018 06:38:48 AM"," ",76989,4469,73256,80882,6068,74481,299,190,216,7,7,12653,9489,6917,6023,144,0,0,0,0,0,0,0,0,0,0,3,117,1,3,117,10,,72,19,108,,81,20,115,5,2,,,5,2,,
153781998002036_2075058885874328,https://www.facebook.com/EczacibasiToplulugu/posts/2075058885874328,"Ulu Önder Mustafa Kemal Atatürk’ü aramızdan ayrılışının 80. yılında sevgi, saygı ve özlemle anıyoruz.",Video,,,"11/09/2018 06:17:53 AM"," ",751830,30700,408929,981909,37543,434072,57497,23020,28073,57,64,22687,14409,4757,4180,2096,5337,5507,8655,9061,63341,68408,63952,66274,4056,36969,5528,37775,283,5599,38481,336,15824,8677,,,18548,9524,,,15,48,,1,15,41,,1
