# ----------------------------------------
# All Web Site Data
# Channels
# 20180108-20181214
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Facebook Decline (Goal 6 Conversion Rate),Facebook Decline (Goal 6 Completions),Facebook Decline (Goal 6 Value)
Organic Search,"3,450,679","3,428,950","4,062,315",48.87%,6.59,00:03:27,<0.01%,77,TRY 0.00
Direct,"497,012","483,571","595,025",38.72%,6.06,00:04:10,<0.01%,15,TRY 0.00
(Other),"346,381","309,907","906,004",56.31%,4.28,00:01:57,<0.01%,30,TRY 0.00
Referral,"164,499","157,327","403,147",52.55%,8.16,00:03:48,<0.01%,6,TRY 0.00
Social,"76,862","60,341","98,672",21.65%,6.82,00:03:14,<0.01%,9,TRY 0.00
,"4,535,433","4,440,096","6,065,163",48.79%,6.30,00:03:19,<0.01%,137,TRY 0.00

Day Index,Users
1/8/18,"16,930"
1/9/18,"14,038"
1/10/18,"15,643"
1/11/18,"14,957"
1/12/18,"15,643"
1/13/18,"16,287"
1/14/18,"15,005"
1/15/18,"16,471"
1/16/18,"19,121"
1/17/18,"16,760"
1/18/18,"19,550"
1/19/18,"16,822"
1/20/18,"19,112"
1/21/18,"20,969"
1/22/18,"20,600"
1/23/18,"20,094"
1/24/18,"18,670"
1/25/18,"20,704"
1/26/18,"18,351"
1/27/18,"19,256"
1/28/18,"20,183"
1/29/18,"19,031"
1/30/18,"21,457"
1/31/18,"17,901"
2/1/18,"20,499"
2/2/18,"21,790"
2/3/18,"19,651"
2/4/18,"19,143"
2/5/18,"19,855"
2/6/18,"17,650"
2/7/18,"18,751"
2/8/18,"18,452"
2/9/18,"18,345"
2/10/18,"21,317"
2/11/18,"20,599"
2/12/18,"19,539"
2/13/18,"18,195"
2/14/18,"16,956"
2/15/18,"17,338"
2/16/18,"16,906"
2/17/18,"18,499"
2/18/18,"21,353"
2/19/18,"18,776"
2/20/18,"19,219"
2/21/18,"17,676"
2/22/18,"18,425"
2/23/18,"16,793"
2/24/18,"18,911"
2/25/18,"19,575"
2/26/18,"19,196"
2/27/18,"19,734"
2/28/18,"17,913"
3/1/18,"19,252"
3/2/18,"16,559"
3/3/18,"18,366"
3/4/18,"19,484"
3/5/18,"20,157"
3/6/18,"19,995"
3/7/18,"19,894"
3/8/18,"18,095"
3/9/18,"17,384"
3/10/18,"18,784"
3/11/18,"19,588"
3/12/18,"18,204"
3/13/18,"21,202"
3/14/18,"15,097"
3/15/18,"13,343"
3/16/18,"14,790"
3/17/18,"22,992"
3/18/18,"19,555"
3/19/18,"18,766"
3/20/18,"17,080"
3/21/18,"15,552"
3/22/18,"17,319"
3/23/18,"17,674"
3/24/18,"18,833"
3/25/18,"19,287"
3/26/18,"18,863"
3/27/18,"18,254"
3/28/18,"17,754"
3/29/18,"16,825"
3/30/18,"16,921"
3/31/18,"20,125"
4/1/18,"19,642"
4/2/18,"16,533"
4/3/18,"15,482"
4/4/18,"14,666"
4/5/18,"15,525"
4/6/18,"16,342"
4/7/18,"18,774"
4/8/18,"18,667"
4/9/18,"20,162"
4/10/18,"17,138"
4/11/18,"15,284"
4/12/18,"15,930"
4/13/18,"14,810"
4/14/18,"17,986"
4/15/18,"18,382"
4/16/18,"18,475"
4/17/18,"15,672"
4/18/18,"14,821"
4/19/18,"13,558"
4/20/18,"14,787"
4/21/18,"15,611"
4/22/18,"14,316"
4/23/18,"13,167"
4/24/18,"14,315"
4/25/18,"14,648"
4/26/18,"13,996"
4/27/18,"14,383"
4/28/18,"14,755"
4/29/18,"15,038"
4/30/18,"15,946"
5/1/18,"15,499"
5/2/18,"14,366"
5/3/18,"14,301"
5/4/18,"12,410"
5/5/18,"13,847"
5/6/18,"14,132"
5/7/18,"13,332"
5/8/18,"12,285"
5/9/18,"14,111"
5/10/18,"13,545"
5/11/18,"12,667"
5/12/18,"14,376"
5/13/18,"13,435"
5/14/18,"14,230"
5/15/18,"19,562"
5/16/18,"22,124"
5/17/18,"17,202"
5/18/18,"16,793"
5/19/18,"16,266"
5/20/18,"17,943"
5/21/18,"16,368"
5/22/18,"19,030"
5/23/18,"17,325"
5/24/18,"16,636"
5/25/18,"15,762"
5/26/18,"17,052"
5/27/18,"17,866"
5/28/18,"20,063"
5/29/18,"18,419"
5/30/18,"18,934"
5/31/18,"16,883"
6/1/18,"16,891"
6/2/18,"17,524"
6/3/18,"17,579"
6/4/18,"18,780"
6/5/18,"18,401"
6/6/18,"64,854"
6/7/18,"15,482"
6/8/18,"14,777"
6/9/18,"20,617"
6/10/18,"17,961"
6/11/18,"18,463"
6/12/18,"18,305"
6/13/18,"19,077"
6/14/18,"18,736"
6/15/18,"15,874"
6/16/18,"13,752"
6/17/18,"18,574"
6/18/18,"18,161"
6/19/18,"21,576"
6/20/18,"17,632"
6/21/18,"16,415"
6/22/18,"15,278"
6/23/18,"15,053"
6/24/18,"14,416"
6/25/18,"16,953"
6/26/18,"19,550"
6/27/18,"19,236"
6/28/18,"17,213"
6/29/18,"17,187"
6/30/18,"15,816"
7/1/18,"16,690"
7/2/18,"18,220"
7/3/18,"16,071"
7/4/18,"14,575"
7/5/18,"15,397"
7/6/18,"16,643"
7/7/18,"21,417"
7/8/18,"16,282"
7/9/18,"18,026"
7/10/18,"15,651"
7/11/18,"16,600"
7/12/18,"19,297"
7/13/18,"18,203"
7/14/18,"14,534"
7/15/18,"14,703"
7/16/18,"15,933"
7/17/18,"16,867"
7/18/18,"20,955"
7/19/18,"17,185"
7/20/18,"16,836"
7/21/18,"14,253"
7/22/18,"15,399"
7/23/18,"16,319"
7/24/18,"15,816"
7/25/18,"17,152"
7/26/18,"17,071"
7/27/18,"16,329"
7/28/18,"15,338"
7/29/18,"15,340"
7/30/18,"16,398"
7/31/18,"16,334"
8/1/18,"16,834"
8/2/18,"16,464"
8/3/18,"15,233"
8/4/18,"14,519"
8/5/18,"14,263"
8/6/18,"16,083"
8/7/18,"14,984"
8/8/18,"16,428"
8/9/18,"15,049"
8/10/18,"13,654"
8/11/18,"13,785"
8/12/18,"14,552"
8/13/18,"15,160"
8/14/18,"14,909"
8/15/18,"15,856"
8/16/18,"16,141"
8/17/18,"18,085"
8/18/18,"15,576"
8/19/18,"14,279"
8/20/18,"15,547"
8/21/18,"11,241"
8/22/18,"12,736"
8/23/18,"13,883"
8/24/18,"15,030"
8/25/18,"14,363"
8/26/18,"14,229"
8/27/18,"14,150"
8/28/18,"15,174"
8/29/18,"17,108"
8/30/18,"16,836"
8/31/18,"17,992"
9/1/18,"17,090"
9/2/18,"17,429"
9/3/18,"17,973"
9/4/18,"17,123"
9/5/18,"15,542"
9/6/18,"15,566"
9/7/18,"15,325"
9/8/18,"14,497"
9/9/18,"14,372"
9/10/18,"14,978"
9/11/18,"14,512"
9/12/18,"13,849"
9/13/18,"14,260"
9/14/18,"14,064"
9/15/18,"14,163"
9/16/18,"13,119"
9/17/18,"13,182"
9/18/18,"14,307"
9/19/18,"13,108"
9/20/18,"11,513"
9/21/18,"12,742"
9/22/18,"13,430"
9/23/18,"13,633"
9/24/18,"12,867"
9/25/18,"17,202"
9/26/18,"15,119"
9/27/18,"13,541"
9/28/18,"15,193"
9/29/18,"15,553"
9/30/18,"16,304"
10/1/18,"13,942"
10/2/18,"14,736"
10/3/18,"16,553"
10/4/18,"13,774"
10/5/18,"13,557"
10/6/18,"13,136"
10/7/18,"14,281"
10/8/18,"11,845"
10/9/18,"11,867"
10/10/18,"12,302"
10/11/18,"11,920"
10/12/18,"12,027"
10/13/18,"13,030"
10/14/18,"14,662"
10/15/18,"11,502"
10/16/18,"11,265"
10/17/18,"11,508"
10/18/18,"11,437"
10/19/18,"11,747"
10/20/18,"12,616"
10/21/18,"13,833"
10/22/18,"11,633"
10/23/18,"10,096"
10/24/18,"10,350"
10/25/18,"10,292"
10/26/18,"11,237"
10/27/18,"11,199"
10/28/18,"13,066"
10/29/18,"11,546"
10/30/18,"10,412"
10/31/18,"11,051"
11/1/18,"10,777"
11/2/18,"10,767"
11/3/18,"11,293"
11/4/18,"12,758"
11/5/18,"11,247"
11/6/18,"10,503"
11/7/18,"11,407"
11/8/18,"12,239"
11/9/18,"11,882"
11/10/18,"10,608"
11/11/18,"11,514"
11/12/18,"11,099"
11/13/18,"10,354"
11/14/18,"9,919"
11/15/18,"11,415"
11/16/18,"11,566"
11/17/18,"11,293"
11/18/18,"13,256"
11/19/18,"9,148"
11/20/18,"8,179"
11/21/18,"7,866"
11/22/18,"8,489"
11/23/18,"8,561"
11/24/18,"10,137"
11/25/18,"11,646"
11/26/18,"11,205"
11/27/18,"11,439"
11/28/18,"13,482"
11/29/18,"13,236"
11/30/18,"11,239"
12/1/18,"11,766"
12/2/18,"12,633"
12/3/18,"11,219"
12/4/18,"11,738"
12/5/18,"14,253"
12/6/18,"11,049"
12/7/18,"10,228"
12/8/18,"10,126"
12/9/18,"14,781"
12/10/18,"12,224"
12/11/18,"10,161"
12/12/18,"9,806"
12/13/18,"11,556"
12/14/18,"37,332"
,"5,403,664"
